id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1572916570153979905,1572916570153979905,2022-09-22 13:51:48 Hora de verano romance,2022-09-22,13:51:48,+0200,12085582,diegodl,diegodl,,Estamos muy contentos de colaborar desde @TheBridge_Tech en esta iniciativa de @Stemdo_io porque tenemos que colaborar entre todos para desarrollar e incrementar la disponibilidad del talento,es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'stemdo_io', 'name': 'stemdo', 'id': '1533986114285015040'}]",[],[],0,0,2,[],[],https://twitter.com/diegodl/status/1572916570153979905,False,https://twitter.com/david_bonilla/status/1572909321913962496,0,,,,,,,,[],,,,
1572869114896568321,1572869114896568321,2022-09-22 10:43:14 Hora de verano romance,2022-09-22,10:43:14,+0200,1162694149956603904,thebridge_tech,The Bridge,,"¿Buscando un empleo en #DataScience? Asiste a AI Careers, el primer evento en Analítica de Datos e Inteligencia Artificial del mundo hispano-hablante.  ¡Impulsa tu carrera y conecta con empresas y expertos! @AI_Network_es   📅30 sep 🎟Entradas  https://t.co/V5FFLIOXEs  https://t.co/hwwoCo1ga0",es,"[{'screen_name': 'ai_network_es', 'name': 'ai-network', 'id': '1060296075305725952'}]",['https://www.aicareers.es/'],['https://pbs.twimg.com/media/FdPzikOX0AAFt1i.jpg'],0,2,1,['datascience'],[],https://twitter.com/TheBridge_Tech/status/1572869114896568321,False,,1,https://pbs.twimg.com/media/FdPzikOX0AAFt1i.jpg,,,,,,,[],,,,
1571528997971922945,1567815140455710721,2022-09-18 17:58:05 Hora de verano romance,2022-09-18,17:58:05,+0200,1494355208473874438,pydatamadrid,PyData Madrid,,@valerybriz @graphext @TheBridge_Tech Hemos llenado el aforo ⚠️ pero ¡aún estás a tiempo de apuntarte a la lista de espera! ¡Nos vemos el jueves!,es,[],[],[],0,0,1,[],[],https://twitter.com/PyDataMadrid/status/1571528997971922945,False,,0,,,,,,,,"[{'screen_name': 'valerybriz', 'name': 'ValeryBriz She/Her', 'id': '829564145557200896'}, {'screen_name': 'graphext', 'name': 'graphext', 'id': '2907682397'}, {'screen_name': 'TheBridge_Tech', 'name': 'The Bridge', 'id': '1162694149956603904'}]",,,,
1570744256104628226,1570744256104628226,2022-09-16 13:59:48 Hora de verano romance,2022-09-16,13:59:48,+0200,2907682397,graphext,graphext,,"Next week we are collaborating with 🐍 @PyDataMadrid, @IEBigData, and @TheBridge_Tech  to talk about 🔥Accelerating Data Flows and Learning Models 🔥 🚨 Registration link:  https://t.co/vYRfSNtrLi  https://t.co/HdivFcsG7u",en,"[{'screen_name': 'pydatamadrid', 'name': 'pydata madrid', 'id': '1494355208473874438'}, {'screen_name': 'iebigdata', 'name': 'ie big data club', 'id': '2918688357'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",['https://www.meetup.com/es-ES/pydata-madrid/events/288281545/'],['https://pbs.twimg.com/media/FcxnTq6X0AAAzu4.jpg'],1,1,2,[],[],https://twitter.com/graphext/status/1570744256104628226,False,,1,https://pbs.twimg.com/media/FcxnTq6X0AAAzu4.jpg,,,,,,,[],,,,
1570708211866677249,1570708211866677249,2022-09-16 11:36:34 Hora de verano romance,2022-09-16,11:36:34,+0200,1131933723681800193,biohubvlc,Biohub VLC,,Esta semana la gerente de @BiohubVLC @sabrinafemenia ha  firmado un convenio de colaboración con @TheBridge_Tech para cubrir la demanda de profesionales #tech en el sector #salud  Consulta toda la información sobre el acuerdo  https://t.co/YvwLOPIVV0  https://t.co/7tGh7BzxWg,es,"[{'screen_name': 'biohubvlc', 'name': 'biohub vlc', 'id': '1131933723681800193'}, {'screen_name': 'sabrinafemenia', 'name': 'sabrina femenia', 'id': '1376591516'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",['https://bit.ly/3UiygqT'],['https://pbs.twimg.com/media/FcxGyOlXkAAEin-.jpg'],0,0,2,"['tech', 'salud']",[],https://twitter.com/BiohubVLC/status/1570708211866677249,False,,1,https://pbs.twimg.com/media/FcxGyOlXkAAEin-.jpg,,,,,,,[],,,,
1570687218565656577,1570687218565656577,2022-09-16 10:13:09 Hora de verano romance,2022-09-16,10:13:09,+0200,1073622740,coitcv,COITCV/AVIT,,❗ Interesante beca formativa.  ℹ Desde el COITCV-AVIT hemos firmando un convenio de colaboración con @TheBridge_Tech gracias al cual nuestros asociados y colegiados disfrutarán de una beca en el programa Bootcamp de #Ciberseguridad.  Toda la info 👇  https://t.co/y45Trv55Ao,es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",['https://avit.org/2022/09/14/descuento-en-el-bootcamp-de-ciberseguridad-en-formato-part-time-por-ser-coitcv-avit/'],[],0,0,0,['ciberseguridad'],[],https://twitter.com/COITCV/status/1570687218565656577,False,,0,,,,,,,,[],,,,
1570460916478611457,1565052389207543809,2022-09-15 19:13:54 Hora de verano romance,2022-09-15,19:13:54,+0200,41110484,raulcotrina,Raúl Cotrina,,"@AnaWhitewolf @IronhackMAD @ISDICoders @Ubiqum @4GeeksAcademyES @hackaboss_ @KeepCoding_ @uxerschool @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders @Open_Bootcamp Si, si, haz un PR 😘",es,[],[],[],0,0,3,[],[],https://twitter.com/raulcotrina/status/1570460916478611457,False,,0,,,,,,,,"[{'screen_name': 'AnaWhitewolf', 'name': '🐺 Ana Amaro 🏳️\u200d🌈', 'id': '210026854'}, {'screen_name': 'ISDICoders', 'name': 'ISDI Coders', 'id': '715888760592941056'}, {'screen_name': 'Ubiqum', 'name': 'Ubiqum Code Academy', 'id': '1208017544'}, {'screen_name': '4GeeksAcademyES', 'name': '4Geeks Academy🇪🇦', 'id': '1190573036346449920'}, {'screen_name': 'hackaboss_', 'name': 'HACK A BOSS', 'id': '1127119595180101633'}, {'screen_name': 'KeepCoding_', 'name': 'KeepCoding®', 'id': '613304383'}, {'screen_name': 'uxerschool', 'name': 'UXER SCHOOL', 'id': '752901072650403840'}, {'screen_name': 'TheBridge_Tech', 'name': 'The Bridge', 'id': '1162694149956603904'}, {'screen_name': 'CraftCodeTech', 'name': 'CraftCode', 'id': '3796274608'}, {'screen_name': 'CodeHouseLearn', 'name': 'CodeHouse Academy', 'id': '1141978357640380416'}, {'screen_name': 'CodenotchMAD', 'name': 'Codenotch', 'id': '1026530062923968513'}, {'screen_name': 'NeolandStudio', 'name': 'NEOLAND', 'id': '733328821504577536'}, {'screen_name': 'Adalab_Digital', 'name': 'Adalab', 'id': '761153947990097920'}, {'screen_name': 'IEuniversity', 'name': 'IE University', 'id': '16825188'}, {'screen_name': 'lemoncoders', 'name': 'lemoncode', 'id': '1334432233'}, {'screen_name': 'Open_Bootcamp', 'name': 'OpenBootcamp', 'id': '1425503314263805962'}]",,,,
1570422003366072320,1565052389207543809,2022-09-15 16:39:17 Hora de verano romance,2022-09-15,16:39:17,+0200,210026854,anawhitewolf,🐺 Ana Amaro 🏳️‍🌈,,"@raulcotrina @IronhackMAD @ISDICoders @Ubiqum @4GeeksAcademyES @hackaboss_ @KeepCoding_ @uxerschool @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders Claro! Faltamos nosotrxs, @Open_Bootcamp 😊. Ahora te paso la info por DM que no sé si puedo ponerlo a piñón en el GitHub 🎸",es,"[{'screen_name': 'open_bootcamp', 'name': 'openbootcamp', 'id': '1425503314263805962'}]",[],[],1,0,3,[],[],https://twitter.com/AnaWhitewolf/status/1570422003366072320,False,,0,,,,,,,,"[{'screen_name': 'raulcotrina', 'name': 'Raúl Cotrina', 'id': '41110484'}, {'screen_name': 'ISDICoders', 'name': 'ISDI Coders', 'id': '715888760592941056'}, {'screen_name': 'Ubiqum', 'name': 'Ubiqum Code Academy', 'id': '1208017544'}, {'screen_name': '4GeeksAcademyES', 'name': '4Geeks Academy🇪🇦', 'id': '1190573036346449920'}, {'screen_name': 'hackaboss_', 'name': 'HACK A BOSS', 'id': '1127119595180101633'}, {'screen_name': 'KeepCoding_', 'name': 'KeepCoding®', 'id': '613304383'}, {'screen_name': 'uxerschool', 'name': 'UXER SCHOOL', 'id': '752901072650403840'}, {'screen_name': 'TheBridge_Tech', 'name': 'The Bridge', 'id': '1162694149956603904'}, {'screen_name': 'CraftCodeTech', 'name': 'CraftCode', 'id': '3796274608'}, {'screen_name': 'CodeHouseLearn', 'name': 'CodeHouse Academy', 'id': '1141978357640380416'}, {'screen_name': 'CodenotchMAD', 'name': 'Codenotch', 'id': '1026530062923968513'}, {'screen_name': 'NeolandStudio', 'name': 'NEOLAND', 'id': '733328821504577536'}, {'screen_name': 'Adalab_Digital', 'name': 'Adalab', 'id': '761153947990097920'}, {'screen_name': 'IEuniversity', 'name': 'IE University', 'id': '16825188'}, {'screen_name': 'lemoncoders', 'name': 'lemoncode', 'id': '1334432233'}]",,,,
1570359001090772997,1570359001090772997,2022-09-15 12:28:56 Hora de verano romance,2022-09-15,12:28:56,+0200,1162694149956603904,thebridge_tech,The Bridge,,"¡Acabamos de firmar un acuerdo con @BiohubVLC! 🤝Contribuimos así a cubrir la necesidad de profesionales digitales en un sector al alza, el #biotech 🦿 que demanda expertos en #datascience, #ciberseguridad y #cloud &amp; #devops🧑‍💻  Más info 👉 https://t.co/3bYdlNwT2a  https://t.co/YCxvjj13bf",es,"[{'screen_name': 'biohubvlc', 'name': 'biohub vlc', 'id': '1131933723681800193'}]",['https://bit.ly/3xpLwzQ'],['https://pbs.twimg.com/media/FcsDTvaWYAM-OZq.jpg'],0,2,1,"['biotech', 'datascience', 'ciberseguridad', 'cloud', 'devops']",[],https://twitter.com/TheBridge_Tech/status/1570359001090772997,False,,1,https://pbs.twimg.com/media/FcsDTvaWYAM-OZq.jpg,,,,,,,[],,,,
1570317872567558150,1570317872567558150,2022-09-15 09:45:30 Hora de verano romance,2022-09-15,09:45:30,+0200,1073622740,coitcv,COITCV/AVIT,,❗ Interesante descuento en formación.  ℹ Desde el COITCV-AVIT hemos firmando un convenio de colaboración con @TheBridge_Tech gracias al cual nuestros asociados y colegiados disfrutarán de un descuento del 25% en el programa Bootcamp de #Ciberseguridad.   https://t.co/y45Trv4xKQ,es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",['https://avit.org/2022/09/14/descuento-en-el-bootcamp-de-ciberseguridad-en-formato-part-time-por-ser-coitcv-avit/'],[],0,0,1,['ciberseguridad'],[],https://twitter.com/COITCV/status/1570317872567558150,False,,0,,,,,,,,[],,,,
